token,tag_true,tag_pred
Статья,O,O
посвящена,O,O
изучению,O,O
функционирования,O,O
продолженного,B-TERM,O
инфинитива,I-TERM,B-TERM
в,O,O
системе,B-TERM,O
форм,B-TERM,O
английского,I-TERM,O
глагола,I-TERM,O
с,O,O
когнитивной,B-TERM,B-TERM
точки,I-TERM,I-TERM
зрения,I-TERM,O
.,O,O
Конструкции,O,B-TERM
с,O,O
продолженным,B-TERM,O
инфинитивом,I-TERM,B-TERM
и,O,O
предикатами,B-TERM,B-TERM
кажимости,I-TERM,I-TERM
анализируются,O,O
как,O,O
средство,B-TERM,O
номинации,I-TERM,O
различных,O,O
ситуаций,B-TERM,O
восприятия,I-TERM,O
.,O,O
Проводится,O,O
сравнительно,B-TERM,O
-,I-TERM,O
сопоставительный,I-TERM,O
анализ,I-TERM,O
английских,O,O
и,O,O
китайских,O,O
лексико,B-TERM,B-TERM
-,I-TERM,O
семантических,I-TERM,B-TERM
типов,I-TERM,I-TERM
выражения,B-TERM,O
значения,B-TERM,O
«,I-TERM,O
движение,I-TERM,O
вверх,I-TERM,O
»,I-TERM,O
.,O,O
В,O,O
процессе,O,O
поиска,O,O
функционально,B-TERM,O
соотносимых,I-TERM,O
типов,I-TERM,O
выделено,O,O
три,O,O
различных,O,O
структурных,B-TERM,B-TERM
модели,I-TERM,I-TERM
лексем,B-TERM,I-TERM
английского,O,I-TERM
языка,O,I-TERM
и,O,O
два,O,O
типа,O,O
лексем,B-TERM,B-TERM
китайского,O,I-TERM
языка,O,I-TERM
.,O,O
В,O,O
качестве,O,O
единиц,B-TERM,O
для,O,O
сравнительно,B-TERM,O
-,I-TERM,O
сопоставительного,I-TERM,O
анализа,I-TERM,O
рассматриваются,O,O
функционально,B-TERM,O
соотносимые,I-TERM,O
и,O,O
структурно,B-TERM,O
схожие,I-TERM,O
типы,I-TERM,O
описания,B-TERM,O
движения,B-TERM,O
вверх,I-TERM,O
–,O,O
аналитические,B-TERM,B-TERM
лексемы,I-TERM,I-TERM
«,O,O
глагольное,B-TERM,O
слово,I-TERM,O
+,O,O
наречие,B-TERM,O
up,O,O
в,O,O
английском,O,O
и,O,O
аналогичный,O,O
постпозитивный,B-TERM,O
элемент,I-TERM,O
-,I-TERM,O
частица,I-TERM,O
",",O,O
выражающий,O,O
значение,B-TERM,O
вверх,I-TERM,O
в,O,O
китайском,O,O
»,O,O
.,O,O
Рассматриваются,O,O
итеративные,B-TERM,B-TERM
значения,I-TERM,I-TERM
бивербальной,B-TERM,I-TERM
конструкции,I-TERM,I-TERM
",",O,O
состоящей,O,O
из,O,O
деепричастия,B-TERM,B-TERM
основного,B-TERM,I-TERM
глагола,I-TERM,I-TERM
и,O,O
вспомогательного,B-TERM,O
глагола,I-TERM,O
одур,O,O
#ERROR!,O,O
‘,O,O
сидеть,O,O
.’,O,O
Она,O,O
является,O,O
единственным,O,O
средством,B-TERM,O
выражения,I-TERM,O
действий,I-TERM,O
",",O,O
регулярно,O,O
повторяющихся,O,O
через,O,O
определенные,O,O
промежутки,O,O
времени,O,O
.,O,O
Эта,O,O
конструкция,B-TERM,O
используется,O,O
также,O,O
для,O,O
обозначения,B-TERM,O
действия,I-TERM,O
",",O,O
совершающихся,O,O
в,O,O
определенный,O,O
момент,O,O
или,O,O
период,O,O
времени,O,O
при,O,O
определенных,O,O
условиях,O,O
",",O,O
или,O,O
действий,O,O
",",O,O
характеризующих,O,O
субъект,B-TERM,O
постоянно,O,O
.,O,O
Специфическая,O,B-TERM
особенность,O,I-TERM
одур,O,O
#ERROR!,O,O
проявляется,O,O
в,O,O
том,O,O
",",O,O
что,O,O
он,O,O
акцентирует,O,O
конкретные,O,O
условия,O,O
",",O,O
при,O,O
которых,O,O
совершается,O,O
действие,B-TERM,O
.,O,O
Это,O,O
отличает,O,O
шорскую,O,O
конструкцию,B-TERM,O
от,O,O
формы,O,O
русского,O,O
несовершенного,B-TERM,O
вида,I-TERM,B-TERM
и,O,I-TERM
от,O,I-TERM
английской,O,O
формы,O,O
Continuous,O,O
.,O,O
Статья,O,O
посвящена,O,O
проблемам,O,O
восприятия,O,B-TERM
синтагматического,B-TERM,I-TERM
членения,I-TERM,I-TERM
английской,O,O
фразы,O,O
носителями,O,B-TERM
корейского,O,I-TERM
языка,O,I-TERM
.,O,O
Приводятся,O,O
результаты,O,O
эксперимента,O,O
по,O,O
декодированию,B-TERM,B-TERM
английских,B-TERM,I-TERM
синтагм,I-TERM,I-TERM
информантами,B-TERM,B-TERM
-,O,O
корейцами,O,B-TERM
в,O,O
процессе,O,B-TERM
восприятия,B-TERM,I-TERM
.,O,O
Одной,O,O
из,O,O
центральных,O,B-TERM
идей,O,I-TERM
моделирования,B-TERM,I-TERM
языкового,I-TERM,I-TERM
сознания,I-TERM,I-TERM
",",O,O
получивших,O,O
теоретическое,O,O
и,O,O
практическое,O,O
воплощение,O,O
",",O,O
является,O,O
«,O,O
идея,B-TERM,O
построения,I-TERM,B-TERM
когнайзера,I-TERM,I-TERM
»,O,O
–,O,O
семиотической,B-TERM,B-TERM
машины,I-TERM,I-TERM
(,O,O
автомата,B-TERM,O
),O,O
",",O,O
как,O,O
инфокогнитивной,B-TERM,B-TERM
компьютерной,I-TERM,I-TERM
системы,I-TERM,I-TERM
/,O,O
технологии,B-TERM,O
",",O,O
реализующей,O,O
возможные,O,B-TERM
модели,B-TERM,I-TERM
операциональных,B-TERM,I-TERM
отношений,I-TERM,I-TERM
",",O,O
существующих,O,O
в,O,O
сознании,B-TERM,O
носителя,B-TERM,O
языка,B-TERM,O
культуры,I-TERM,O
",",O,O
между,O,O
языковыми,B-TERM,O
единицами,I-TERM,B-TERM
(,O,O
ЯЕ,B-TERM,O
),O,O
",",O,O
которые,O,O
зафиксированы,O,O
в,O,O
различных,O,B-TERM
ассоциативных,B-TERM,I-TERM
и,O,I-TERM
когнитивных,B-TERM,B-TERM
экспериментах,I-TERM,I-TERM
.,O,O
Теоретическое,O,B-TERM
и,O,I-TERM
практическое,O,O
воплощение,O,O
идеи,O,B-TERM
когнайзера,B-TERM,I-TERM
актуально,O,O
как,O,O
для,O,O
решения,O,O
общей,O,O
проблемы,O,O
когниции,B-TERM,B-TERM
",",O,O
так,O,O
и,O,O
для,O,O
решения,O,O
частных,O,O
проблем,O,O
многих,O,O
наук,O,O
",",O,O
междисциплинарных,O,B-TERM
исследований,O,I-TERM
и,O,O
разработок,O,O
",",O,O
для,O,O
интегрированных,B-TERM,O
и,O,O
/,O,O
или,O,O
конвергентных,B-TERM,B-TERM
технологий,I-TERM,I-TERM
",",O,O
в,O,O
частности,O,O
NBIC,B-TERM,O
-,I-TERM,O
технологий,I-TERM,O
.,O,O
Рассматриваются,O,O
теоретические,O,O
основания,O,B-TERM
формального,B-TERM,I-TERM
сравнительного,I-TERM,I-TERM
анализа,I-TERM,I-TERM
психолингвистических,B-TERM,I-TERM
ассоциативных,I-TERM,I-TERM
экспериментов,I-TERM,I-TERM
и,O,O
анализа,B-TERM,B-TERM
текстовых,B-TERM,I-TERM
массивов,I-TERM,I-TERM
с,O,O
использованием,O,O
различных,O,B-TERM
метрик,B-TERM,I-TERM
",",O,O
основанных,O,O
на,O,O
дистрибутивно,B-TERM,B-TERM
-,I-TERM,O
статистическом,I-TERM,B-TERM
методе,I-TERM,I-TERM
и,O,O
компонентном,B-TERM,B-TERM
анализе,I-TERM,I-TERM
.,O,O
Дается,O,O
обзор,O,O
факторов,O,O
",",O,O
приводящих,O,O
к,O,O
изменениям,O,O
в,O,O
структуре,O,B-TERM
медиаотрасли,B-TERM,I-TERM
и,O,O
формах,O,O
предоставляемого,O,O
СМИ,B-TERM,B-TERM
контента,B-TERM,I-TERM
.,O,O
При,O,O
этом,O,O
упор,O,O
делается,O,O
на,O,O
изменившиеся,O,O
условия,O,O
существования,O,O
самих,O,B-TERM
медиа,B-TERM,I-TERM
как,O,O
социального,B-TERM,B-TERM
явления,I-TERM,I-TERM
",",O,O
новых,O,O
ожиданиях,O,B-TERM
аудитории,B-TERM,I-TERM
и,O,O
процессах,O,B-TERM
восприятия,O,I-TERM
медиапродукта,B-TERM,I-TERM
.,O,O
Приводятся,O,O
«,B-TERM,O
проклятые,I-TERM,O
вопросы,I-TERM,O
»,I-TERM,O
медиарынка,B-TERM,B-TERM
",",O,O
ответы,O,O
на,O,O
которые,O,O
пытаются,O,O
найти,O,O
руководители,O,O
всех,O,O
типов,O,O
СМИ,B-TERM,O
",",O,O
рассматриваются,O,O
бизнес,B-TERM,O
-,I-TERM,O
стратегии,I-TERM,B-TERM
медиаотрасли,I-TERM,I-TERM
",",O,O
которые,O,O
аналитики,O,O
рынка,O,O
обозначают,O,O
в,O,O
качестве,O,O
перспективных,O,O
.,O,O
Статья,O,O
посвящена,O,O
переходу,O,O
казахстанских,B-TERM,O
вузов,I-TERM,O
к,O,O
инновационным,B-TERM,B-TERM
моделям,I-TERM,I-TERM
.,O,O
Изучается,O,O
структура,O,O
",",O,O
история,O,O
и,O,O
опыт,O,O
западных,B-TERM,B-TERM
концепций,I-TERM,I-TERM
организации,I-TERM,I-TERM
университетского,I-TERM,I-TERM
образования,I-TERM,I-TERM
",",O,O
а,O,O
также,O,O
анализируются,O,O
проблемы,O,O
и,O,O
перспективные,O,O
возможности,O,O
применения,O,B-TERM
инновационных,B-TERM,I-TERM
технологий,I-TERM,I-TERM
в,O,O
журналистском,B-TERM,B-TERM
